source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1757	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1758	Врем.И.Тим., Вр.И.Т., Смутн.врем., c.261–472, Ск. о см.вр., Пам.Смутн.Врем.			17	17					+					
1759	Артакс.действо			1672	1674					+					
1760	Гб., Гебд.			1659	1661					+					
1761	Артакс.действо			1672	1674					+					
1762	Аз.п., Аз.П., Аз.пов.			17	17					+					
1763	Баг.Бгр., Баг.Мат., Баг.М.			1600	1693					+					+
1764	Гб., Гебд.			1659	1661					+					
1765	Артакс.действо			1672	1674					+					
1766	Волог.хрест.			15	8					+					
1767	Гб., Гебд.			1659	1661					+					
