source_id	title_a	title_b	lang_gloss	date_start	date_end	Bib	Gomilet	Bog	Agiogr	Pov	Litur	Epi	Letop	Hron	Docum
1418	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1419	ДАИ II			1613	1645		+	+							
1420	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1421	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1422	ДАИ II			1613	1645		+	+							
1423	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1424	ДАИ II			1613	1645		+	+							
1425	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1426	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1427	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1428	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1429	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1430	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1431	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1432	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1433	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1434	Заговоры			15		+	+								
1435	ДАИ II			1613	1645		+	+							
1436	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1437	ДАИ II			1613	1645		+	+							
1438	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1439	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1440	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1441	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1442	Авв.Кн.обл., Ав.Кн.обл.			1679	1679		+								
1443	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1444	Заб.Ик., Мат.Заб. и Мат.Икон.			1551	1671		+	+							
1445	ДАИ II			1613	1645		+	+							
1446	ДАИ II			1613	1645		+	+							
1447	ДАИ II			1613	1645		+	+							
1448	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1449	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1450	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1451	ДАИ II			1613	1645		+	+							
1452	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1453	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1454	Заб.Дом.быт, II, Заб.Быт			15		+	+								
1455	Заб.Дом.быт, II, Заб.Быт			15		+	+								
